generation,best_fitness,best_raw_cost,best_penalty,average_fitness
0,2300749966.782008,4997068.642007854,2295752898.1400003,4652539743.305772
1,2139555368.2417653,4923966.66176457,2134631401.5800006,4636626657.548439
2,2139555368.2417653,4923966.66176457,2134631401.5800006,4340786168.879554
3,1888586801.5416925,4932395.521692225,1883654406.0200002,3898299874.9042773
4,1774758613.123315,4788968.623314213,1769969644.500001,3632069313.3305845
5,1736793919.738573,4882037.33857274,1731911882.4000003,3467647897.1327996
6,1391188395.695356,4830623.255355753,1386357772.44,3234020024.4577565
7,1202440764.2252238,4861925.2852233555,1197578838.9400005,3491407252.667393
8,1202440764.2252238,4861925.2852233555,1197578838.9400005,3235462636.9466176
9,756469359.6594526,4817178.219452185,751652181.4400004,2755719818.491553
10,756469359.6594526,4817178.219452185,751652181.4400004,2465947394.2998533
11,742644353.176972,4814708.736971752,737829644.4400003,3041352373.029913
12,742644353.176972,4814708.736971752,737829644.4400003,3408130352.912565
13,625461091.8199946,4770494.09999467,620690597.7199999,3009303698.811909
14,625461091.8199946,4770494.09999467,620690597.7199999,2812970807.9930263
15,535567674.0518268,4724855.891826852,530842818.1599999,2095287668.015638
16,535567674.0518268,4724855.891826852,530842818.1599999,1889495767.1037076
17,535567674.0518268,4724855.891826852,530842818.1599999,1956578341.0828617
18,534517146.352353,4718539.1923532225,529798607.1599997,1819091912.567963
19,534517146.352353,4718539.1923532225,529798607.1599997,1822240788.1291904
20,534517146.352353,4718539.1923532225,529798607.1599997,1802233400.673151
21,472081475.5281775,4691371.488177505,467390104.04,1584710061.4012253
22,472081475.5281775,4691371.488177505,467390104.04,1656426570.9127684
23,472081475.5281775,4691371.488177505,467390104.04,1552661187.5606327
24,472081475.5281775,4691371.488177505,467390104.04,1699919238.4841094
25,471066108.6457479,4720215.605748047,466345893.03999984,1798487243.78456
26,468729279.53164905,4704456.991649083,464024822.53999996,1254657807.5232468
27,423958787.87753856,4708866.837538728,419249921.03999984,1231045379.2332177
28,326542734.04855436,4715391.168554584,321827342.87999976,1388138115.3688266
29,326542665.2061997,4715322.326199932,321827342.87999976,1310369895.7884605
30,322145915.4878764,4715404.727876686,317430510.75999975,1299554509.6856222
31,94230822.10076061,4703504.780760668,89527317.31999993,1361538462.514419
32,87535344.7401153,4725930.040115253,82809414.70000005,1474237295.7468698
33,87535344.7401153,4725930.040115253,82809414.70000005,1355874091.4671147
34,57898393.59453758,4696384.394537603,53202009.19999997,1143712471.0486245
35,57898393.59453758,4696384.394537603,53202009.19999997,1194015757.5936248
36,50756870.64339238,4707926.44339246,46048944.19999991,838420584.6176615
37,43190759.6388413,4725563.438841406,38465196.1999999,1059962313.3276913
38,43190759.6388413,4725563.438841406,38465196.1999999,1044709135.9665369
39,31476933.862228338,4704709.262228378,26772224.59999996,741483420.4338902
40,25536030.62760851,4738814.147608649,20797216.479999863,1047500780.4697365
41,22909067.264311533,4734225.064311657,18174842.199999876,1088515387.893296
42,22909067.264311533,4734225.064311657,18174842.199999876,930654940.656282
43,22436813.138460852,4723230.538461013,17713582.599999838,671232021.3317139
44,14874000.388932932,4744165.78893311,10129834.59999982,1010154862.0344255
45,14853985.697567735,4724151.097567914,10129834.59999982,809795798.4876182
46,14842962.009823535,4713127.409823714,10129834.59999982,716377058.0576667
47,14825424.434237493,4695589.834237672,10129834.59999982,919632930.1288527
48,13285772.372595368,4743140.3725954555,8542631.999999912,1046818083.8844525
49,13285772.372595368,4743140.3725954555,8542631.999999912,1174580362.236758
50,8963246.433961272,4735740.613961216,4227505.820000056,922081386.3268476
51,8952710.811506547,4725204.991506492,4227505.820000056,968319787.2106351
52,8952710.811506547,4725204.991506492,4227505.820000056,1013834409.0171252
53,8952710.811506547,4725204.991506492,4227505.820000056,1061282770.0300322
54,8952710.811506547,4725204.991506492,4227505.820000056,931415551.1689879
55,4729877.238309737,4729877.238309737,0.0,1237340701.0375297
56,4729877.238309737,4729877.238309737,0.0,1079364960.9096913
57,4729877.238309737,4729877.238309737,0.0,1105745555.960831
58,4722231.960382661,4722231.960382661,0.0,758135835.4369847
59,4722231.960382661,4722231.960382661,0.0,1168413135.6768832
60,4722231.960382661,4722231.960382661,0.0,699030174.5963091
61,4722231.960382661,4722231.960382661,0.0,1234693794.8453846
62,4712894.176973575,4712894.176973575,0.0,1339035367.3545823
63,4707208.797603997,4707208.797603997,0.0,672887653.0208625
64,4707208.797603997,4707208.797603997,0.0,742237083.5454711
65,4702905.91783404,4702905.91783404,0.0,690221822.2135636
66,4697567.073394333,4697567.073394333,0.0,1007661614.1403044
67,4696634.438458137,4696634.438458137,0.0,1242033395.6756725
68,4696634.438458137,4696634.438458137,0.0,937964044.6539458
69,4687237.59451602,4687237.59451602,0.0,1001196442.0816357
70,4687237.59451602,4687237.59451602,0.0,802979028.552691
71,4687237.59451602,4687237.59451602,0.0,1055109175.7480632
72,4680833.794757939,4680833.794757939,0.0,818205275.8812604
73,4680833.794757939,4680833.794757939,0.0,1207636435.6957738
74,4665371.377789971,4665371.377789971,0.0,756129936.2308745
75,4664087.188262265,4664087.188262265,0.0,891298539.4510167
76,4653749.576518886,4653749.576518886,0.0,1050362095.9879677
77,4653384.272244642,4653384.272244642,0.0,1111836726.595737
78,4652984.2127222875,4652984.2127222875,0.0,929060186.3993824
79,4651780.295981972,4651780.295981972,0.0,1243272498.345048
