t,year,month,day,hour,plant,generation_mwh,on,startup,shutdown
0,2011,7,1,1,Scherer,2860.11,1,1,0
0,2011,7,1,1,Bowen,0.0,0,0,0
0,2011,7,1,1,Jack McDonough,0.0,0,0,0
0,2011,7,1,1,Edwin I Hatch,1626.41228,1,0,0
0,2011,7,1,1,Vogtle,2088.696,1,0,0
0,2011,7,1,1,OIL,75.83748,1,1,0
0,2011,7,1,1,BIOMASS,470.95972,1,1,0
0,2011,7,1,1,GAS,1761.30524,1,1,0
0,2011,7,1,1,HYDRO,268.05618,1,1,0
0,2011,7,1,1,OTHER COAL,2060.91224,1,1,0
1,2011,7,1,2,Scherer,2860.11,1,0,0
1,2011,7,1,2,Bowen,0.0,0,0,0
1,2011,7,1,2,Jack McDonough,0.0,0,0,0
1,2011,7,1,2,Edwin I Hatch,1626.41228,1,0,0
1,2011,7,1,2,Vogtle,2088.696,1,0,0
1,2011,7,1,2,OIL,75.83748,1,0,0
1,2011,7,1,2,BIOMASS,470.95972,1,0,0
1,2011,7,1,2,GAS,1761.30524,1,0,0
1,2011,7,1,2,HYDRO,268.05618,1,0,0
1,2011,7,1,2,OTHER COAL,993.053419999999,1,0,0
2,2011,7,1,3,Scherer,2860.11,1,0,0
2,2011,7,1,3,Bowen,0.0,0,0,0
2,2011,7,1,3,Jack McDonough,0.0,0,0,0
2,2011,7,1,3,Edwin I Hatch,1626.41228,1,0,0
2,2011,7,1,3,Vogtle,2088.696,1,0,0
2,2011,7,1,3,OIL,75.83748,1,0,0
2,2011,7,1,3,BIOMASS,470.95972,1,0,0
2,2011,7,1,3,GAS,1590.9586589999988,1,0,0
2,2011,7,1,3,HYDRO,268.05618,1,0,0
2,2011,7,1,3,OTHER COAL,0.0,0,0,1
3,2011,7,1,4,Scherer,2860.11,1,0,0
3,2011,7,1,4,Bowen,0.0,0,0,0
3,2011,7,1,4,Jack McDonough,0.0,0,0,0
3,2011,7,1,4,Edwin I Hatch,1626.41228,1,0,0
3,2011,7,1,4,Vogtle,2088.696,1,0,0
3,2011,7,1,4,OIL,75.83748,1,0,0
3,2011,7,1,4,BIOMASS,470.95972,1,0,0
3,2011,7,1,4,GAS,902.5704239999986,1,0,0
3,2011,7,1,4,HYDRO,268.05618,1,0,0
3,2011,7,1,4,OTHER COAL,0.0,0,0,0
4,2011,7,1,5,Scherer,2860.11,1,0,0
4,2011,7,1,5,Bowen,0.0,0,0,0
4,2011,7,1,5,Jack McDonough,0.0,0,0,0
4,2011,7,1,5,Edwin I Hatch,1626.41228,1,0,0
4,2011,7,1,5,Vogtle,2088.696,1,0,0
4,2011,7,1,5,OIL,75.83748,1,0,0
4,2011,7,1,5,BIOMASS,470.95972,1,0,0
4,2011,7,1,5,GAS,598.099835,1,0,0
4,2011,7,1,5,HYDRO,268.05618,1,0,0
